,Ticker,Volatility,Sector,PEG Ratio,Market Cap,Trailing PS,Profit Margin,Forward EPS,Market Cap Categorised,Price,Three Year SL Growth Rate (%),Three Year Growth Against Market (%)
6066,SQM,24.47000356110762,Basic Materials,-0.46,20482109440.0,1.9123253,0.36471,11.51,Large-Cap,77.91000366210938,299.8407186922958,253.89828593649273
6067,SQNS,1.4950778737878538,Technology,-17.06,119440800.0,1.9725653,-0.14877,-0.19,Micro-Cap,2.3299999237060547,-60.10274207486865,-106.04517483067173
6072,SRC,6.280051161970577,Real Estate,0.7,5361073664.0,7.5547767,0.40235,1.45,Mid-Cap,37.93999862670898,62.597809908177894,16.655377152374818
6074,SRCL,9.897613156151435,Industrials,1.98,3888883456.0,1.4378244,0.0207,2.35,Mid-Cap,42.060001373291016,-5.673915161783287,-51.61634791758636
6075,SRDX,9.644104528705714,Healthcare,-1.25,340695008.0,3.3440485,-0.31709,-1.52,Small-Cap,23.709999084472656,-37.35799196746672,-83.3004247232698
6076,SRE,17.443840144316717,Utilities,4.21,49337118720.0,3.4169345,0.14807001,9.6,Large-Cap,156.94000244140625,39.692698934242905,-6.24973382156017
6079,SRGA,30.27079009294216,Healthcare,-0.01,9585257.0,0.116923325,-0.66609,-11.05,Micro-Cap,1.1799999475479126,-98.05280531805323,-143.9952380738563
6080,SRI,4.992093731793286,Consumer Cyclical,-193.79,513102528.0,0.5701627,-0.015620001,0.35,Small-Cap,18.989999771118164,19.962096415931637,-25.98033633987144
6082,SRPT,31.30697927022581,Healthcare,-0.27,11259924480.0,12.068347,-0.754,4.83,Large-Cap,126.2699966430664,11.349201890663512,-34.59323086513956
6084,SRT,1.6418406581335185,Technology,1.46,129728968.0,0.33689362,-0.00587,0.61,Micro-Cap,3.359999895095825,11.258275374723747,-34.68415738107933
6088,SSB,12.36859667606174,Financial Services,0.77,5220549120.0,3.339948,0.31736,7.19,Mid-Cap,69.2699966430664,37.53458016451846,-8.407852591284616
6091,SSD,13.53637351097728,Basic Materials,3.68,4830731776.0,2.2828605,0.15784,6.84,Mid-Cap,115.11000061035156,101.69957484894454,55.75714209314146
